Date,"XAU/USD(Open, Ask)","XAU/USD(High, Ask)","XAU/USD(Low, Ask)","XAU/USD(Close, Ask)","XAU/USD(Open, Bid)*","XAU/USD(High, Bid)*","XAU/USD(Low, Bid)*","XAU/USD(Close, Bid)*",Tick Volume(XAU/USD)
2023/06/19 16:45:00,1957.54,1957.75,1957.42,1957.55,1957.24,1957.45,1957.12,1957.25,335
2023/06/19 16:40:00,1957.71,1958.10,1957.26,1957.54,1957.40,1957.79,1956.96,1957.24,755
2023/06/19 16:35:00,1958.06,1958.07,1957.46,1957.71,1957.76,1957.76,1957.16,1957.40,899
2023/06/19 16:30:00,1958.46,1958.84,1957.76,1958.06,1958.15,1958.53,1957.46,1957.76,1143
2023/06/19 16:25:00,1958.73,1958.95,1958.15,1958.46,1958.42,1958.65,1957.84,1958.15,1068
2023/06/19 16:20:00,1957.32,1958.78,1957.10,1958.73,1957.02,1958.47,1956.80,1958.42,1063
2023/06/19 16:15:00,1956.15,1958.39,1956.15,1957.32,1955.85,1958.08,1955.85,1957.02,1607
2023/06/19 16:10:00,1955.82,1956.19,1955.82,1956.15,1955.52,1955.89,1955.51,1955.85,966
2023/06/19 16:05:00,1956.43,1956.47,1955.73,1955.82,1956.12,1956.17,1955.43,1955.52,1103
2023/06/19 16:00:00,1955.30,1956.44,1955.24,1956.43,1954.99,1956.14,1954.94,1956.12,1447
2023/06/19 15:55:00,1953.91,1955.46,1953.84,1955.30,1953.60,1955.15,1953.54,1954.99,1308
2023/06/19 15:50:00,1953.86,1954.21,1953.65,1953.91,1953.56,1953.91,1953.35,1953.60,1130
2023/06/19 15:45:00,1953.32,1953.99,1952.94,1953.86,1953.01,1953.68,1952.64,1953.56,1383
2023/06/19 15:40:00,1954.74,1954.98,1953.29,1953.32,1954.43,1954.67,1952.99,1953.01,1237
2023/06/19 15:35:00,1954.44,1954.85,1953.01,1954.74,1954.13,1954.55,1952.70,1954.43,2119
2023/06/19 15:30:00,1953.69,1954.98,1953.48,1954.44,1953.38,1954.67,1953.17,1954.13,1866
2023/06/19 15:25:00,1954.04,1954.15,1953.52,1953.69,1953.74,1953.84,1953.22,1953.38,1247
2023/06/19 15:20:00,1954.06,1954.48,1953.67,1954.04,1953.74,1954.17,1953.36,1953.74,1150
2023/06/19 15:15:00,1953.99,1954.22,1953.44,1954.06,1953.68,1953.92,1953.13,1953.74,932
2023/06/19 15:10:00,1954.02,1954.33,1953.78,1953.99,1953.71,1954.02,1953.47,1953.68,1052
2023/06/19 15:05:00,1954.62,1954.79,1953.73,1954.02,1954.31,1954.48,1953.42,1953.71,1303
2023/06/19 15:00:00,1954.52,1954.77,1953.74,1954.62,1954.22,1954.46,1953.43,1954.31,1538
2023/06/19 14:55:00,1954.13,1954.76,1954.11,1954.52,1953.83,1954.45,1953.81,1954.22,1342
2023/06/19 14:50:00,1954.90,1954.90,1953.38,1954.13,1954.59,1954.59,1953.07,1953.83,1159
2023/06/19 14:45:00,1954.63,1955.15,1954.54,1954.90,1954.31,1954.83,1954.24,1954.59,808
2023/06/19 14:40:00,1954.40,1954.75,1953.94,1954.63,1954.07,1954.44,1953.64,1954.31,827
2023/06/19 14:35:00,1954.64,1954.81,1954.22,1954.40,1954.34,1954.50,1953.92,1954.07,1311
2023/06/19 14:30:00,1954.75,1955.08,1954.39,1954.64,1954.44,1954.78,1954.08,1954.34,1143
2023/06/19 14:25:00,1955.30,1955.32,1954.52,1954.75,1954.98,1955.00,1954.21,1954.44,1207
2023/06/19 14:20:00,1955.82,1956.00,1954.71,1955.30,1955.51,1955.67,1954.39,1954.98,1191
2023/06/19 14:15:00,1955.34,1955.97,1954.80,1955.82,1955.04,1955.65,1954.49,1955.51,1245
2023/06/19 14:10:00,1954.81,1956.03,1954.69,1955.34,1954.49,1955.73,1954.35,1955.04,1336
2023/06/19 14:05:00,1954.48,1955.06,1954.15,1954.81,1954.17,1954.75,1953.85,1954.49,1502
2023/06/19 14:00:00,1954.85,1955.49,1954.47,1954.48,1954.55,1955.18,1954.17,1954.17,1852
2023/06/19 13:55:00,1955.93,1956.10,1954.36,1954.85,1955.62,1955.80,1954.04,1954.55,1279
2023/06/19 13:50:00,1956.28,1956.28,1955.21,1955.93,1955.97,1955.97,1954.89,1955.62,998
2023/06/19 13:45:00,1956.32,1956.32,1955.53,1956.28,1956.02,1956.02,1955.21,1955.97,1412
2023/06/19 13:40:00,1956.88,1957.04,1956.09,1956.32,1956.57,1956.73,1955.78,1956.02,1217
2023/06/19 13:35:00,1957.21,1957.58,1956.79,1956.88,1956.89,1957.27,1956.48,1956.57,941
2023/06/19 13:30:00,1957.22,1957.51,1956.78,1957.21,1956.92,1957.20,1956.44,1956.89,1466
2023/06/19 13:25:00,1957.20,1957.37,1956.91,1957.22,1956.90,1957.07,1956.60,1956.92,589
2023/06/19 13:20:00,1956.83,1957.35,1956.80,1957.20,1956.52,1957.04,1956.49,1956.90,488
2023/06/19 13:15:00,1957.33,1957.38,1956.65,1956.83,1957.01,1957.05,1956.35,1956.52,462
2023/06/19 13:10:00,1957.22,1957.73,1957.04,1957.33,1956.91,1957.42,1956.70,1957.01,652
2023/06/19 13:05:00,1957.07,1957.39,1956.72,1957.22,1956.74,1957.09,1956.39,1956.91,673
2023/06/19 13:00:00,1957.24,1957.41,1956.94,1957.07,1956.93,1957.09,1956.63,1956.74,801
2023/06/19 12:55:00,1956.82,1957.35,1956.82,1957.24,1956.51,1957.04,1956.51,1956.93,728
2023/06/19 12:50:00,1956.75,1956.95,1956.58,1956.82,1956.45,1956.63,1956.28,1956.51,396
2023/06/19 12:45:00,1956.78,1956.79,1956.37,1956.75,1956.47,1956.49,1956.06,1956.45,490
2023/06/19 12:40:00,1956.45,1956.90,1956.31,1956.78,1956.15,1956.57,1956.00,1956.47,510
