Date,"XAU/USD(Open, Ask)","XAU/USD(High, Ask)","XAU/USD(Low, Ask)","XAU/USD(Close, Ask)","XAU/USD(Open, Bid)*","XAU/USD(High, Bid)*","XAU/USD(Low, Bid)*","XAU/USD(Close, Bid)*",Tick Volume(XAU/USD)
2023/06/16 05:00:00,1958.24,1968.11,1953.49,1958.83,1957.94,1967.81,1953.18,1956.72,488172
2023/06/15 05:00:00,1942.65,1960.46,1925.14,1958.24,1942.35,1960.16,1924.46,1957.94,1192462
2023/06/14 05:00:00,1943.90,1960.53,1939.88,1942.65,1943.60,1960.23,1939.57,1942.35,498182
2023/06/13 05:00:00,1957.87,1971.63,1940.19,1943.90,1957.57,1971.07,1939.88,1943.60,527188
2023/06/12 05:00:00,1960.93,1967.20,1949.43,1957.87,1960.55,1966.90,1949.12,1957.57,398623
2023/06/09 05:00:00,1965.44,1973.32,1956.83,1960.93,1965.14,1973.01,1956.53,1960.55,376156
2023/06/08 05:00:00,1940.16,1970.76,1940.03,1965.44,1939.86,1970.51,1939.68,1965.14,423598
2023/06/07 05:00:00,1963.80,1970.40,1939.95,1940.16,1963.50,1970.09,1939.40,1939.86,375057
2023/06/06 05:00:00,1961.96,1966.57,1954.55,1963.80,1961.66,1966.27,1954.25,1963.50,305456
2023/06/05 05:00:00,1948.44,1964.26,1938.29,1961.96,1948.03,1963.96,1937.98,1961.66,375101
2023/06/02 05:00:00,1977.75,1983.65,1948.32,1948.44,1977.45,1983.34,1948.00,1948.03,391526
2023/06/01 05:00:00,1962.93,1983.32,1953.58,1977.75,1962.63,1983.01,1953.26,1977.45,397945
2023/05/31 05:00:00,1959.63,1974.98,1953.85,1962.93,1959.33,1974.68,1953.55,1962.63,413776
2023/05/30 05:00:00,1944.85,1963.72,1932.28,1959.63,1944.55,1963.42,1931.95,1959.33,379585
2023/05/29 05:00:00,1946.93,1949.97,1940.53,1944.85,1946.42,1949.66,1939.91,1944.55,174660
2023/05/26 05:00:00,1941.31,1957.47,1936.96,1946.93,1941.01,1957.17,1936.64,1946.42,396640
2023/05/25 05:00:00,1957.84,1964.98,1939.04,1941.31,1956.75,1964.68,1938.72,1941.01,441080
2023/05/24 05:00:00,1975.35,1985.50,1956.93,1957.84,1975.05,1985.21,1956.62,1956.75,394065
2023/05/23 05:00:00,1972.05,1977.95,1954.45,1975.35,1971.75,1977.64,1954.15,1975.05,447441
2023/05/22 05:00:00,1977.36,1982.78,1969.08,1972.05,1976.96,1982.47,1968.77,1971.75,353265
2023/05/19 05:00:00,1957.80,1984.45,1954.25,1977.36,1957.50,1984.13,1953.94,1976.96,472623
2023/05/18 05:00:00,1981.80,1986.25,1952.15,1957.80,1981.50,1985.95,1951.84,1957.50,380305
2023/05/17 05:00:00,1989.43,1993.29,1975.23,1981.80,1989.13,1992.98,1974.92,1981.50,366563
2023/05/16 05:00:00,2016.58,2018.54,1985.68,1989.43,2016.28,2018.23,1985.36,1989.13,434444
2023/05/15 05:00:00,2011.53,2022.38,2007.57,2016.58,2011.23,2022.08,2006.43,2016.28,321136
2023/05/12 05:00:00,2015.15,2022.75,2001.13,2011.53,2014.85,2022.45,2000.77,2011.23,433606
2023/05/11 05:00:00,2030.44,2041.58,2011.33,2015.15,2030.14,2041.18,2011.01,2014.85,542509
2023/05/10 05:00:00,2034.62,2048.42,2021.69,2030.44,2034.32,2048.09,2021.39,2030.14,480068
2023/05/09 05:00:00,2021.35,2037.79,2019.68,2034.62,2021.05,2037.47,2019.37,2034.32,342574
2023/05/08 05:00:00,2017.26,2029.58,2014.37,2021.35,2016.36,2029.27,2014.05,2021.05,330968
2023/05/05 05:00:00,2050.36,2053.22,1999.66,2017.26,2050.06,2052.92,1999.36,2016.36,445804
2023/05/04 05:00:00,2039.07,2080.16,2030.57,2050.36,2038.77,2079.48,2030.26,2050.06,694942
2023/05/03 05:00:00,2016.88,2040.70,2008.43,2039.07,2016.58,2040.29,2006.87,2038.77,430929
2023/05/02 05:00:00,1982.75,2019.61,1978.68,2016.88,1982.45,2019.27,1978.38,2016.58,449119
2023/05/01 05:00:00,1990.16,2006.21,1977.32,1982.75,1989.18,2005.90,1976.98,1982.45,350943
2023/04/28 05:00:00,1987.90,1995.26,1976.33,1990.16,1987.60,1994.96,1976.02,1989.18,458483
2023/04/27 05:00:00,1989.21,2004.04,1974.41,1987.90,1988.91,2003.34,1974.04,1987.60,433320
2023/04/26 05:00:00,1997.44,2009.62,1983.55,1989.21,1997.14,2009.27,1983.22,1988.91,467427
2023/04/25 05:00:00,1989.25,2004.06,1976.32,1997.44,1988.95,2003.73,1976.00,1997.14,428973
2023/04/24 05:00:00,1982.99,1991.05,1974.30,1989.25,1982.63,1990.74,1974.00,1988.95,317199
2023/04/21 05:00:00,2004.95,2005.75,1971.80,1982.99,2004.65,2005.43,1971.49,1982.63,365759
2023/04/20 05:00:00,1995.22,2012.61,1990.73,2004.95,1994.92,2012.30,1990.40,2004.65,334595
2023/04/19 05:00:00,2005.52,2008.39,1969.43,1995.22,2005.22,2008.06,1969.12,1994.92,374149
2023/04/18 05:00:00,1995.25,2012.05,1991.44,2005.52,1994.95,2011.74,1991.12,2005.22,302223
2023/04/17 05:00:00,2004.72,2015.26,1981.38,1995.25,2004.27,2014.96,1981.05,1994.95,351424
2023/04/14 05:00:00,2040.59,2047.68,1992.62,2004.72,2040.29,2047.35,1992.28,2004.27,461726
2023/04/13 05:00:00,2015.07,2048.96,2014.01,2040.59,2014.77,2048.64,2013.57,2040.29,360582
2023/04/12 05:00:00,2003.71,2028.55,2001.37,2015.07,2003.41,2028.25,2001.06,2014.77,411347
2023/04/11 05:00:00,1991.61,2007.66,1989.01,2003.71,1991.31,2007.35,1988.70,2003.41,272310
2023/04/10 05:00:00,2007.97,2007.97,1981.87,1991.61,2007.67,2007.67,1981.57,1991.31,250762
2023/04/06 05:00:00,2020.78,2022.19,2001.05,2007.97,2020.48,2021.33,2000.74,2007.67,319809
2023/04/05 05:00:00,2020.63,2032.40,2010.18,2020.78,2020.33,2032.09,2009.88,2020.48,399219
2023/04/04 05:00:00,1984.53,2025.23,1977.23,2020.63,1984.23,2024.93,1976.93,2020.33,408055
2023/04/03 05:00:00,1970.07,1990.72,1949.99,1984.53,1968.86,1990.42,1949.67,1984.23,402688
2023/03/31 05:00:00,1980.59,1987.89,1967.10,1970.07,1980.29,1987.55,1966.79,1968.86,361133
2023/03/30 05:00:00,1964.66,1984.57,1955.59,1980.59,1964.36,1984.24,1955.28,1980.29,342202
2023/03/29 05:00:00,1973.99,1974.66,1958.94,1964.66,1973.69,1974.32,1958.60,1964.36,316325
